朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
明•秦景明,汤,内,1216.0,干葛防风汤,《症因脉治》卷一,干葛  防风  石膏  甘草,wbz,疏风清热。,祛风解表(牙痛),阳明风热齿痛。,水煎，去滓。,温服。,,n,4.0,,,
明,煮散,外,1373.0,大戟散,《古今医统》卷六十四,大戟90g  露蜂房(炒)  细辛各30g　防风15g,15g,疏风泻火，消肿止痛。,祛风解表(牙痛),风火牙痛。,"上fu咀，每次15g，用200ml，煎取
160ml，去滓。",乘热漱口，不拘时候。,,y,4.0,,,
金,汤,外,1800.0,广大重明汤,《兰室秘藏》卷上,龙胆草  防风  生甘草  细辛各3g,3g,清热祛风，除湿止痒。,祛风解表(风热)　目,两目睑赤烂，热肿疼痛，及眼睑痒痛，抓之至破，眼弦生疮，目多眵泪，隐涩难开，胬肉泛长而痒。,上锉，纳甘草不锉，只作一锭，先以水375m1，煎龙胆一味，至一半，再入余三味，煎至125ml，滤去滓。,用清带热洗，以重汤坐令热，一日用五至七次，但洗毕，合眼一时。,,y,4.0,,,
明,煮散,内,3428.0,牛蒡散,《普济方》卷三六一,防风  荆芥  甘草  牛蒡子(炒)各等分,等分,疏散风热。,祛风解表(风热),小儿变蒸生疮。,上为散。水煎，去滓。,温服。,,n,4.0,,,
宋•魏岘撰（1227）,煮散,外,3633.0,升麻细辛汤,《魏氏家藏方》卷九,升麻  荆芥穗  防风(去芦)各15g　细辛30g(去土),15g,祛风止痛。,祛风解表(牙痛),风牙痛。,上为粗末。每次128，用水225m1，煎至150m1，去滓。,热服，漱令冷，吐之。为细末揩齿，良久吐出，温盐汤漱之亦得。,去芦,y,4.0,,,
现代,汤,外,4241.0,艾叶洗剂,《中医皮肤病学简编》,艾叶62g  雄黄6g  防风62g  花椒6g,62g,祛湿止痒。,止痒,慢性湿疹，过敏性皮炎，泛发性神经皮炎。,水煎，去滓。,熏洗。,,y ,4.0,,,
宋,散,内,4481.0,甘菊散,《圣济总录》卷十七,甘菊花(择)  旋覆花  防风(去叉)　石膏(碎研)各等分,等分,祛风清热。,祛风解表(风热),头面风，头目昏眩。,上为散。,每次6g，腊茶调服。如煎此药沐发，大去白屑。,去叉,n,4.0,,,
宋,丸,内,4734.0,四生丸,《圣济总录》卷一八六,萆薢  防风  狗脊(去毛)  乌头(去皮、脐，生用)各等分,等分,温经散寒，祛风除湿。,胜湿止痛(风寒湿痹),风寒湿邪外浸所致的筋骨疼痛。,"先以河水浸乌头七日七夜，切片，每乌
头30g即用盐15g同炒黄，次与诸药同为细末，用米
醋面糊为丸，如梧桐子大。",每日服10丸，渐加至30丸，空心用温酒或盐汤送服。,,n,4.0,,,
元•危亦林,丸,内,4788.0,四神丸,《世医得效方》卷十三)  又名四神丹(《医学入门》卷七,天麻  天南星(各汤洗净)  防风各30g  薄荷叶15g,30g,祛风化痰。,祛风解表(风邪),痰涎壅盛，手足顽麻，头昏目眩，肩背拘急。,上为末，酒煮薄面糊为丸，如绿豆大。,每次20丸，荆芥、生姜煎汤送服。,,y,4.0,,,
宋•薛辛（1265）,汤,内,6376.0,圣济汤,《女科万金方》,茯苓9g  防风  麦冬  黄芩各6g,6g,疏风清热，养心安神。,祛风解表(风热),子烦,加竹叶，水煎，去滓。,温服。,,y,4.0,,,
元•危亦林,煮散,内,6439.0,地仙散,《世医得效方》卷九,地骨皮60g  防风30g  甘草15g　麦冬30g(去心),30g,养阴生津，疏风退热。,祛风解表(风热),素体阴虚，内有伏热，兼感风邪，骨蒸肌热。,上药锉散。每次9g，用水150m1，加生姜5片，煎至105m1，去滓。,温服，不拘时候。,,y,4.0,,,
金•张子和,煮散,内,6787.0,芎黄汤,《儒门事亲》卷十五,大黄  荆芥穗  川芎  防风各等分,等分,祛风泻火,祛风解表(风热),风火上攻，头目眩运,上为粗末。每次15g。水煎，去滓。,温服之。以利为度。,,n,4.0,,,
宋,煮散,内,7136.0,当归散,《葆光道眼科龙木集》,当归  防风苗(泡)  蒺藜(炒)  牡丹皮各等分,等分　,祛风凉血。,祛风解表(风热)　目,风热侵入血分，目中红筋附睛。,上为末。,每次6g，加生姜、薄荷，用水煎服；或以茶清调服亦可。,,n,4.0,,,
宋,煮散,内,7385.0,竹叶汤,《三因极一病证方论》卷十七)  又名麦门冬汤(《明医指掌》卷九,防风  黄芩  麦冬(去心)各90g　白茯苓120g,90g,清热除烦，养心安神。,其它(妊娠子烦)　安神,妊娠子烦，心惊胆寒，胸中烦闷。,"上锉散。每次12g，用水225m1，加竹叶
数片煎，去滓。",温服。,,y,4.0,,,
宋,丸,内,8073.0,防风丸,《圣济总录》卷一三六,防风  蝉蜕  猪牙皂荚(酥炙，去皮、子)各45g  天麻60g    ,45g,祛风止痒。,止痒,风疮疥癣，皮肤瘙痒，搔成瘾疹。,上为细末，用精羊肉煮熟，捣烂，以酒熬为膏，为丸如绿豆大。,每次30丸，荆芥酒或茶汤送服。,,y,4.0,,,
汉,汤,内,8098.0,防己地黄汤,《金匮要略》卷上,防己9g  桂枝10g  防风9g  甘草10g,9g,滋阴凉血，祛风化痰。,胜湿止痛(痹证),癫狂病，痹证。,上药以酒200m1，渍之一宿，绞取汁；生地黄90g(哎咀)，铜器盛，蒸熟，绞取汁，和匀。,温服，一日二次。,,y,4.0,,,
元•王好古,煮散,内,8116.0,防风当归散,《此事难知》)  又名防风当归汤(《医学正传》卷五,防风  当归  川芎  地黄各30g,30g,养血祛风。,止痉,发汗过多，发热，头面摇。卒口噤，背反张；亦治产后痉病。,"上锉。每次30g，用水450m1，煮至
300ml，去滓。",温服。,,y,4.0,,,
宋,煮散,内,8381.0,麦门冬汤 ,《济生方》卷七)  又名竹叶汤(《普济方》卷三三八,麦冬(去心)  防风  茯苓各30g  人参15g,30g,清心养阴，安神除烦。,其它(妊娠子烦)　安神,妊娠心经有热，气阴两伤，致患子烦。,"上为粗末。每次12g，用水225m1，加生
姜5片，淡竹叶10片，煎至180m1，去滓。",温服，不拘时候。,,y,4.0,,,
金,汤,内,8755.0,苍术汤,《兰室秘藏》卷中,防风  黄柏各3g  柴胡6g  苍术9g,3g,清热燥湿，健脾升阳。,散肝舒脾(升阳),脾气不足，湿热下注，腰腿疼痛。,上用水300m1，煎至150m1，去滓。,空心温服。,,y,4.0,,,
明•李梴,丸,内,9211.0,连归丸,《医学入门》卷八,全当归  酒黄连各120g  防风  枳壳各60g,60g,清肠泄热，疏风行气。,祛风宽肠,痔漏及脱肛，便血。,上为末，用浸黄连之酒打糊为丸，如梧桐子大。,每次60～70丸，米饮送服。,,y,4.0,,,
宋,丸,内,9434.0,牡荆子丸,《太平圣惠方》卷六,牡荆子60g  防风90g  皂荚10挺(去皮，涂酥，炙黄焦，去子)  桑螵蛸60g(微炒),90g,祛风止痒。,止痒, 疥疮。,上为末，炼蜜为丸，如梧桐子大。,每次20丸，荆芥汤送服，不拘时候。,,y,4.0,,,
元,煮散,内,9472.0,利膈散,《御药院方》卷九,黑牵牛(炒)  甘草(炒)各120g  防风30g  牛蒡子(炒)240g,30g,祛风利咽，消肿止痛。,祛风解表(风热),咽喉诸疾，肿痛生疮。,除防风外，各慢火炒令熟，与防风同为细末。,每次6g，用沸汤300m1点药，澄清热服，不拘时候。,,y,4.0,,,
明,煮散,外,9510.0,何首乌散,《普济方》卷二七二引《医方集成》,防风  苦参  何首乌  薄荷各等分,等分,祛风燥湿，消肿止痒。,止痒,遍身疮肿痒痛。,上为粗末。每次用药15g，水、酒各400ml，煎十沸。," 热洗患处。洗后于避风处睡一觉。痛甚
者，三日愈。",,n,4.0,,,
金,煮散,内,9836.0,羌活汤,《素问病机气宜保命集》卷中)  又名小羌活汤(《医学正传》卷六,羌活  独活  防风  地榆各30g,30g,祛风解痉。,止痉(破伤风),破伤风，服左龙丸利后搐痉不已。,上哎咀。每次15g，用水225ml，煎至150ml，去滓。,温服。,,y,4.0,,,
宋,散,内,10837.0,拨云散,《大平惠民和剂局方》卷七绍兴续添方,羌活  防风  柴胡  甘草(炒)各500g,500g,祛风解毒，明目退翳。,祛风解表(风热)　目,风毒上攻，眼目昏暗，翳膜遮障，怕日羞明，多生热泪，隐涩难开，眶痒赤痛，睑眦红烂，瘀肉侵睛。,上为细末。,"每次6g，食后、临睡时用薄荷汤或菊
花苗汤调服。",,y,4.0,,,
宋,散,内,2218.0,天南星散,《圣济总录》卷十六,天南星(酸浆水煮透心软，切，晒干)30g  菊花22．5g  自然铜(烧赤，醋淬)30g  防风15g　川芎30g,15g,祛风止痛。,祛风解表(头痛),偏头痛。,上为细散。,每次1．5g，腊茶清少许调服，只作一口呷尽，分作三咽，每咽点头一次。,,y,5.0,,,
清•凌奂,散,内,2651.0,五虎散,《饲鹤亭集方》,当归  红花  白芷  防风  南星各等分,等分,活血化瘀，消肿定痛。,其它祛风止痛　跌打,跌扑损伤，瘀血肿痛。,上为细末。, 每次9g，热黄酒调服，重者加倍。,,n,5.0,,,
明,散,内,8121.0,防风羌活散,《普济方》卷二七九,"防风  羌活  全蝎  薄荷  荆芥各
30g",30g,祛风止痒。,止痒,疥癣风疮。,上为细末。,每次9g，用酒或茶调服，不拘时候。,,y,5.0,,,
宋,散,内,1938.0,小黄耆散,《鸡峰普济方》卷十九,黄芪  赤小豆各30g  土蒺藜  枳实各15g  防风30g,30g,益气祛风，利水退肿。,祛风解表(防虚感),风寒客于肾经，上乘于肺，面目浮肿，身无痛，形不瘦，不能食，其脉大紧。,上为细末。,每次6g，米饮调服，或温酒亦可。,,y,5.0,,,
宋,丸,内,2907.0,车前子丸,太平圣惠方》卷三十三)  又名驻景丸(《圣济总录》卷一O八,车前子  羚羊角屑  防风  菟丝子(jiu浸三日，晒干，别捣为末)各30g  决明子45g,30g,祛风清热，补肝明目。,祛风解表(风热)　目,肝脏亏虚，风热上冲，眼目昏暗。,上为末，炼蜜为丸，如梧桐子大。,每次30丸，食前以温水送服，夜卧再服。,,y,5.0,,,
宋,散,内,2979.0,止汗散,《鸡峰普济方》卷二十五,牡蛎22．5g  白术30g  白芷10．5g　　甘草9g  防风15g,15g,固表止汗，和卫祛风。,祛风解表(防虚感),诸虚不足，汗出不止。,上为细末。,每次6g，沸水调服，不拘时候。,,y,5.0,,,
清,汤,内,3634.0,升麻桔梗汤,《叶氏女科》卷二,"升麻  桔梗  甘草各1．5g  防风
玄参各3g",3g,祛风散寒，清热利咽。,祛风解表(风寒),妊娠外感风寒、内有蕴热，咽喉疼痛。,水煎，去滓。,分二次温服。,,y,5.0,,,
金,汤,内,3649.0,升阳除湿防风汤,《脾胃论》卷中又名升阳除湿汤(《嵩崖尊生》卷九,苍术(泔浸，去皮净)120g  防风6g　　白术  白茯苓  白芍药各3g,6g,祛风胜湿，健脾升阳。,散肝舒脾(升阳),湿浊中阻，清阳下陷，以致飧泄濡泻，及肠风下血。,上畋咀，除苍术另作片子。用水500ml，煮至400ml，纳诸药同煎至200m1，去滓。,空心、食前稍热服。,,y,5.0,,方中苍术辛温燥湿，升清阳而开诸郁；白术、茯苓健脾利湿；防风祛风胜湿；白芍敛阴和营。诸药相配，俾脾气健旺，湿去阳升，则泄泻自愈。,
宋,散,内,3735.0,乌鸡散,《圣济总录》卷八,乌雌鸡肉(炙干)75g  桂(去粗皮)52．5g  细辛(去苗叶)90g  防风(去叉，锉)7．5g　干姜(炮)75g,7.5g,养血祛风，温经通络。,胜湿止痛(虚痹),中风。阴血亏虚，风寒凝滞经络，手足不随，口面喁僻。,上为散。,每次1．5g，加至3g，食后良久，温酒调服，日二夜一。未觉效，稍增至4g，以效为度。,去叉，锉,y,5.0,,,
清•陈士铎,汤,内,4118.0,双解风湿汤,《辨证录》卷五,茯苓30g  薏仁30g  柴胡6g  防风  甘草各3g,3g,祛风利湿。,祛风解表,伤风八九日，风湿相搏，身体烦疼，不能转侧，不呕不渴。,水煎，去滓。,温服。,,y,5.0,,方中柴胡、防风以祛风，茯苓、薏仁利湿，甘草以和解之。四味合用，既能祛风，又能利湿，故名“双解风湿汤”。,
清•顾世澄,丸,外,4302.0,灭瘢丹,《疡医大全》卷十二,轻粉  白附子  黄芩(微火略炒)  白芷  防风(研细末)各等分,等分,消痕灭瘢。,止痒美白,面部瘢痕。,炼蜜为丸。,"于每日洗面之时多擦数次，临睡洗面
时又擦之。不须三日，自然消痕灭瘢。",,n,5.0,,,
清•祝补斋,散,内,4324.0,正翻散,《卫生鸿宝》卷二,"石膏15g(煅)  栀子30g(生)  生甘
草9g  防风60g(酒拌抄)  豨莶草120g(酒润晒干)",60g,祛风清热。,祛风解表(风热)　目,风热上扰，眼皮外翻，如舌舔唇之状。,研细。,壮人每次6g，弱人3g，小儿1．8～2．1g，白开水调服。,酒拌抄,y,5.0,,,
宋,散,内,4490.0,甘菊花散,《圣济总录》卷一O四,甘菊花120g  防风(去叉)60g  蒺藜子(炒，去角)  恶实(炒)各30g  甘草(炙，锉)15g,60g,祛风清热。,祛风解表(风热)　目,风毒攻眼，碜痛不可忍。,上为散。,每次6g，熟水调，食后、临卧服。,去叉,y,5.0,,,
元,丸,内,5470.0,白薇丸,《世医得效方》卷十六,白薇15g  防风  白蒺藜(去角，炒) 石榴皮  羌活各9g,9g,疏风清热。,祛风解表(风热)　目,漏睛脓出。心气不宁，风热停留在睑中，眦肾头结聚生疮，流出脓汁，或如涎水，粘睛上下，不痛，仍无翳膜。,上为末，米粉糊为丸，如梧桐子大。,每次20丸，白汤送服。,,y,5.0,,,
金,汤,内,5753.0,立效散,《兰室秘藏》卷中,细辛0．6g  炙甘草1g  升麻2．1g　防风3g　草龙胆(酒洗)12g,3g,疏风泻火，化湿止痛。,祛风解表(牙痛),牙齿痛不可忍，连及头脑项背，微恶寒饮，大恶热饮。,用水150m1，煎至105m1，去滓,以匙抄在口中，煤痛处。待少时则止。,,y,5.0,," 本方所治牙痛，是由湿火壅遏阳明所
致。方中防风、细辛祛风胜湿，细辛并能止痛：胆草、
升麻泻火解毒；甘草调和诸药。配合成方，共奏疏风
泻火，化湿止痛之功。",
清•吴谦,汤,内,6277.0,加味玉屏风散,《医宗金鉴》卷四十二,石膏  茵陈  黄芪  白术  防风,wbz,益气固表，清热利湿。,祛风解表(防虚感),黄汗，汗出染衣。,水煎，去滓。,温服。,,n,5.0,,,
明,汤,内,6744.0,芎芷汤,《普济方》卷三OO,花椒(去目)  川芎各15g  白芷  防风  干姜各0．3g,0.3g,祛风散寒，活血舒筋。,祛风解表(风寒),手指伤风冷，筋脉挛急。,上锉。以水300m1，煎令浓，滤去滓。,涂患处，每日五至七次。,,y,5.0,,,
宋,丸,内,8068.0,防风丸,《太平惠民和剂局方》卷一又名天麻丸(《普济方》卷一O五,防风(洗)  川芎  天麻(jiu浸一宿)　甘草(炙)各60g  朱砂(研为衣)15g,60g,祛风活血，镇心安神。,祛风解表(风热),风邪痰热上攻，头痛恶心，项背拘急，目眩旋运，心怔烦闷，手足无力，骨节疼痛，言语謇涩，口眼润动，神思恍惚，痰涎壅滞，昏愦健忘，虚烦少睡。,上为细末，炼蜜为丸，每30g作10丸，以朱砂为衣。,每次1丸，用荆芥汤或茶、酒化服，不拘时候。,洗,y,5.0,,,
宋,丸,内,8074.0,防风丸,《圣济总录》卷一五O,防风  苍耳(炒)  苦参  蒺藜子(炒)各60g  枳壳(去瓤，麸炒)30g,60g,祛风清热，除湿止痒。,止痒,妇人外感风湿热邪，皮肤瘾疹痒痛，或有细疮。,上为细末，炼蜜为丸，如梧桐子大。,每次20丸，温酒或荆芥茶送服，不拘时候。,,y,5.0,,,
宋,散,外,8088.0,防风散,《圣济总录》卷一一八,防风30g  龙胆30g  生地黄(切，焙)60g  沉香(锉)15g  升麻15g,30g,疏风清热，凉血解毒。,散肝舒脾(散伏火),口舌生疮。,上为细散。,每次6g，加盐少许，沸汤调匀，揩齿含 咽便睡。,,y,5.0,,,
明,散,内,8121.0,防风羌活散,《普济方》卷二七九,防风  羌活  全蝎  薄荷  荆芥各30g,30g,祛风止痒。,止痒,疥癣风疮。,上为细末。,每次9g，用酒或茶调服，不拘时候。,,y,5.0,,,
明,汤,内,8122.0,防风败毒饮,《万氏家抄方》卷六又名防风葛根汤(《赤水玄珠》卷二十八)  防风败毒散(《片玉痘疹》卷十二,升麻  葛根  防风  赤芍  甘草,wbz,解肌透疹。,透疹,痘后余毒发瘾疹，及麻疹发热。,去煎，去滓。,温服。,,n,5.0,, 本方是由《闫氏小儿方论》升麻葛根汤加防风而成。方中升麻、防风解毒透疹；葛根轻扬发散，解肌除热；赤芍和营泄热；甘草和中解毒。诸药合用，使汗出疹透而毒解。,
清,膏,外,8230.0,红玉膏,《慈禧光绪医方选议》, 当归30g  红花9g  赤芍9g  白及9g  防风9g,9g, 祛腐生肌，定痛消肿，解毒止痒。,透疹　散结,鼻内干燥疼痛，杨梅顽疮，结毒臁疮，大小诸毒。,用香油500g，将上药煎枯去滓，入黄蜡60g，再入银朱30g，乳香15g。,挑少许，擦鼻孔内。,,y,5.0,,,
明•孙志宏撰,汤,内,8322.0,麦麸散,《简明医彀》卷四,麦麸(炒黄)  防风  白术  牡蛎  黄芪各4.5g,4.5g,补气固表，收涩止汗。,祛风解表(防虚感),卫气不足，肌表不固，自汗盗汗。,加大枣，水煎，去滓。,温服。,,y,5.0,,方中黄耆与牡蛎相合，益气固表，收涩止汗为君药；辅以白术、麦麸健脾益胃，与黄耆相合，补气健脾，实表固卫；卫阳不足，邪易外侵，故佐以防风御风散邪，有邪可散，无邪可防，并与黄耆、白术相合，使之补气实表，而无敛邪之弊，疏风散邪而不耗伤正气。配合成方，共成补气固表，收涩止汗之效。,
清•梁廉夫,汤,内,8882.0,苏叶汤,《不知医必要》卷一,苏叶  防风  川芎各4．5g  陈皮3g　　甘草2g,4.5g,疏风解表。,祛风解表(风热),伤风发热。,加生姜2片，水煎，去滓。,温服。,,y,5.0,,,
唐,丸,内,9013.0,赤白二疹丸 ,《外台秘要》卷三十引《延年秘录》,白术500g  蔓荆子30g  防风30g　附子15g(炮)  桂心15g,30g,温阳健脾，祛风散寒。,祛风解表(风寒)2,脾阳不足，外感风寒，致患风疹。,上药为末，炼蜜为丸，如梧桐子大。,每次10丸，稍加至15丸，用酒送服，每日二次。若作散剂，每服3g。,,y,5.0,,,
宋,丸,内,9534.0,皂角丸,《太平圣惠方》卷四十,皂荚500g(不蛀者，去皮，以酥150g渐涂，慢火炙至酥尽为度，然后捶碎，以新汲水按，用生绢滤过，以慢火熬成膏)  防风30g  独活30g　甘草30(炙微赤，锉)  牛蒡子30g(微炒),30g,疏风祛湿。,止痒,饮酒过多，致患酒皶鼻。,上为末，以皂角煎和为丸，如梧桐子大。,每次20丸，食后茶、酒任下。,,y,5.0,,,
宋,丸,内,9571.0,皂荚刺丸 ,《太平圣惠方》卷六十,皂角刺60g(烧令烟尽)  臭樗皮30g(微炙)  防风30g  赤芍药30g  枳壳30g(麸炒微黄，去瓤),30g,祛风活血，燥湿止痒。,祛风宽肠,痔疾，肛边痒痛不止。,上为末，用酽醋500m1熬其中一半药末，再下余药为丸，如小豆大。,每次20丸，食前煎防风汤送服。,,y,5.0,,,
宋,丸,外,9827.0,羌活丸,《圣济总录》卷一一四,羌活  玄参  木通(锉)  乌头(炮裂，去脐、皮)  防风各7.5g,7.5g,祛风通窍。,其它祛风通窍　耳,耳聋。,上为末，熔蜡和，捻如枣核。,塞耳中，每日一换。,,y,5.0,,,
宋,煮散,内,10348.0,附子汤,《圣济总录》卷十,附子(炮裂，去皮、脐)30g  黄芪120g　甘草(炙，锉)15g  麻黄(去根、节，煎，掠去沫，焙)150g  防风(去叉)15g,15g,温阳益气，祛风止痛。,胜湿止痛,历节风疼痛，日夜不可忍。,上锉，如麻豆大。每次12g，用水225ml，加大枣2枚(去核)，生姜log(劈碎)，同煎至150ml，去滓。,温服，日二次，夜一次。,,y,5.0,,,
元,散,外,10521.0,驱风散,《世医得效方》卷十六,防风  龙胆草各15g  铜青9g  五倍子6g  淡竹叶1握,15g,祛风清热。,祛风解表(风热)　目,烂弦风赤，浮翳、胬肉攀睛，涩痒眵泪。,上药为末。,每次1．5g，热汤60m1泡，澄清，洗眼。,,y,5.0,,,
宋,煮散,内,11443.0,泻黄散,《小儿药证直诀》卷下又名泻脾散(原书同卷),藿香叶7钱  山栀子仁3g  石膏15g　甘草90g  防风120g(焙),120g,泻脾胃伏火。,散肝舒脾(散伏火),脾胃伏火，口疮口臭，烦渴易饥，口燥唇干，舌红脉数，以及脾热弄舌。,上锉，同蜜酒微炒香，为细末。每次3～6g，用水150m1，煎至75m1，去滓澄清。,温服。,焙,y,5.0,,方中山栀、石膏清热泻火，藿香辟秽醒脾和中，防风升散伏火，甘草调和诸药。配合成方，能泻脾胃伏火。脾胃之热得消，则诸证自平。,
